id,name,source_type,url,domain,discovered_from,region,status,http_status,content_type,last_crawled_at,robots_allowed,error
16,20too Licensing,organisation_website,https://20too.com/,20too.com,manual_seed,Middle East and North Africa,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:02+00:00,1,
17,ACI Licensing,organisation_website,https://acilicensing.com/,acilicensing.com,manual_seed,North America,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:02+00:00,1,
18,Advocate Art,organisation_website,https://www.advocate-art.com/,advocate-art.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:03+00:00,1,
19,Alfilo Brands,organisation_website,https://www.alfilobrands.com/,alfilobrands.com,manual_seed,Global,failed,,,2026-08-30T13:58:02+00:00,,Homepage fetch failed
20,Alifish,organisation_website,https://www.alifish.com/,alifish.com,manual_seed,China and Asia-Pacific,failed,,,2026-08-30T13:58:37+00:00,,Homepage fetch failed
21,Animation International,organisation_website,https://www.animationintl.com/,animationintl.com,manual_seed,Asia-Pacific,failed,,,2026-08-30T13:58:02+00:00,,Homepage fetch failed
153,Apply for a New License - Texas Department of Licensing and Regulation,organisation_website,https://www.tdlr.texas.gov/,tdlr.texas.gov,web_search:Licensing Expo exhibitors licensing agency; web_search:licensing agent our brands portfolio,Unknown,fetched,200,text/html,2026-08-30T13:59:40+00:00,1,
22,Art Ask Agency,organisation_website,https://artaskagency.com/,artaskagency.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:04+00:00,1,
23,Art Brand Studios,organisation_website,https://artbrandstudios.com/,artbrandstudios.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:02+00:00,1,
24,Art Licensing International,organisation_website,https://artlicensing.com/,artlicensing.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:02+00:00,1,
25,Artestar,organisation_website,https://www.artestar.com/,artestar.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:02+00:00,1,
26,ARTiSTORY,organisation_website,https://www.artistorybrands.net/,artistorybrands.net,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:09+00:00,1,
27,Asembl,organisation_website,https://asembl-brands.com/,asembl-brands.com,manual_seed,Australia and New Zealand,fetched,200,text/html,2026-08-30T13:58:02+00:00,1,
28,Astound,organisation_website,https://astound.us/,astound.us,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:02+00:00,1,
29,Atlantyca Entertainment,organisation_website,https://www.atlantyca.com/,atlantyca.com,manual_seed,Italy and Europe,fetched,200,text/html,2026-08-30T13:58:08+00:00,1,
30,Authentic Brands Group,organisation_website,https://authentic.com/,authentic.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:03+00:00,1,
31,Bavaria Media Licensing,organisation_website,https://www.bavaria-media.de/,bavaria-media.de,manual_seed,Germany and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:02+00:00,1,
32,BBC Studios Brands and Licensing,organisation_website,https://www.bbcstudios.com/brands/,bbcstudios.com,manual_seed,Global,http_error,403,text/html,2026-08-30T13:58:02+00:00,1,
33,Biplano Licensing,organisation_website,https://biplano.com/,biplano.com,manual_seed,Iberia and Europe,failed,,,2026-08-30T13:58:04+00:00,,Homepage fetch failed
34,Black Mint Licensing,organisation_website,https://blackmint.com.au/,blackmint.com.au,manual_seed,Australia and New Zealand,failed,,,2026-08-30T13:58:02+00:00,,Homepage fetch failed
35,Black White Orange Brands,organisation_website,https://blackwhiteorange.in/,blackwhiteorange.in,manual_seed,India and South Asia,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:02+00:00,1,
36,Bluestar Alliance,organisation_website,https://bluestaralliance.com/,bluestaralliance.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:03+00:00,1,
37,Born Licensing,organisation_website,https://bornlicensing.com/,bornlicensing.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:03+00:00,1,
38,Bradford Licensing,organisation_website,https://bradfordlicensing.com/,bradfordlicensing.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:03+00:00,1,
39,Brand Central,organisation_website,https://brandcentralgroup.com/,brandcentralgroup.com,manual_seed,North America,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:05+00:00,1,
144,Brand Extensions Licensing Agency,organisation_website,https://www.merriam-webster.com/dictionary/brand,merriam-webster.com,seed_name_search,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:30+00:00,1,
12,Brand Licensing Europe,conference,https://www.brandlicensing.eu/,brandlicensing.eu,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:23+00:00,1,
8,Brand Licensing Europe 2025 exhibitor PDF,conference_pdf,https://ble25.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm?export=pdf,ble25.mapyourshow.com,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:20+00:00,1,
7,Brand Licensing Europe 2025 exhibitors,conference,https://ble25.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm,ble25.mapyourshow.com,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:20+00:00,1,
6,Brand Licensing Europe 2026 exhibitor PDF,conference_pdf,https://ble26.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm?export=pdf,ble26.mapyourshow.com,seed_registry,,fetched,200,application/pdf;charset=utf-8,2026-08-30T13:57:19+00:00,1,
5,Brand Licensing Europe 2026 exhibitors,conference,https://ble26.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm,ble26.mapyourshow.com,seed_registry,,fetched,200,text/html;charset=utf-8,2026-08-30T13:57:12+00:00,1,
151,Brand Licensing Innovation Summit,organisation_website,https://www.brandlicensinginnovationsummit.com/en/home.html,brandlicensinginnovationsummit.com,directory_link:Licensing Expo; directory_link:Licensing Expo 2026 exhibitor PDF; directory_link:Licensing Expo 2026 exhibitors,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:36+00:00,1,
40,Brand Squared Licensing,organisation_website,https://brandsquaredlicensing.com/,brandsquaredlicensing.com,manual_seed,North America,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:07+00:00,1,
41,Brandgenuity,organisation_website,https://brandgenuity.com/,brandgenuity.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:09+00:00,1,
42,Bravado,organisation_website,https://www.bravado.com/,bravado.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:10+00:00,1,
43,Bridgeman Images,organisation_website,https://www.bridgemanimages.com/,bridgemanimages.com,manual_seed,Global,fetched,202,text/html; charset=utf-8,2026-08-30T13:58:11+00:00,1,
44,Broad Street Licensing Group,organisation_website,https://broadstreetlicensing.com/,broadstreetlicensing.com,manual_seed,North America,failed,,,2026-08-30T13:58:14+00:00,,Homepage fetch failed
45,Bulldog Licensing,organisation_website,https://bulldog-licensing.com/,bulldog-licensing.com,manual_seed,United Kingdom and Ireland,failed,,,2026-08-30T13:58:13+00:00,,Homepage fetch failed
47,CAA Brand Management / Beanstalk,organisation_website,https://www.beanstalk.com/,beanstalk.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:14+00:00,1,
46,Caravanserai Partners,organisation_website,https://caravanseraipartners.com/,caravanseraipartners.com,manual_seed,Europe,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:14+00:00,1,
