id,canonical_name,normalized_name,website,category,description,first_source_id,evidence_count,representation_count,conference_count,travel_fit_score,licensing_readiness_score,preliminary_score,score_basis,first_seen_at,last_seen_at
113,British Indian Ocean Territory,british indian ocean territory,,nature_wildlife,"{""name"": ""British Indian Ocean Territory"", ""code"": ""IO"", ""phoneCode"": ""+246""}",15,6,2,0,91.0,95.0,92.7,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
959,Plum Pretty Sugar,plum pretty sugar,https://www.jewelbranding.com/client/plum-pretty-sugar/,nature_wildlife,"Client List: New York Botanical Garden, Frank Lloyd Wright Foundation, MFA Boston, Natural History Museum, Georgia O'Keeffe Museum, National Wildlife Federation, Sanderson, Morris & Co., Simplified by Emily Ley, Nikki Chu, Plum Pretty Sugar, Rachael Hale, EttaVee, Mia Charro, Krissy Mast, Turnowsky and Ceci New York Portfolio of Artists.",6,7,1,0,91.0,95.0,92.7,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
960,Rachael Hale,rachael hale,https://www.jewelbranding.com/client/rachael-hale/,nature_wildlife,"Client List: New York Botanical Garden, Frank Lloyd Wright Foundation, MFA Boston, Natural History Museum, Georgia O'Keeffe Museum, National Wildlife Federation, Sanderson, Morris & Co., Simplified by Emily Ley, Nikki Chu, Plum Pretty Sugar, Rachael Hale, EttaVee, Mia Charro, Krissy Mast, Turnowsky and Ceci New York Portfolio of Artists.",6,7,1,0,91.0,95.0,92.7,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
809,Skechers,skechers,https://imglicensing.com/brands/skechers/,nature_wildlife,"Client List: More than 300 licensees including: Aimer Kids, Annil, Anker, Balabala, Babycare, Bata, Belle, Beazero, Bilibili, Biore, Baidu, Bananain, Blink, C&S, Chow Tai Fook, China Merchants Bank, Citizen, Centrum, Culturelle, Cotti, d'zzit, DAZZLE, Dettol, Dencare, Deli stationery, Deep Breath, Edition, EF Education, Fila, Fipo, Frog Prince, Garden, Forever 21, Glico, Gukoo, Haidilao, Hewlett Packard (HP), HLA, Hsufuchi, I.T, Igc, IMIS, IP Snack, Jandoon, JD.com, JUST.FOTO, Kabrita, Kappa, Kawasaki, Kayou, KFC, KEEP, KKV, Knighthood, L'OCCITANE, Lawson, Lecoq sportif, Larbee, Linlee, Luckin, Maxim's cakes, McCormick, Midea, Mideer, Milkground, MINISO, Mylafe, Meitu, Meituan, Mokingran, Naixue, Nest Designs, Nestle, Nutrilon, Only, Orion, Palladium, Peacebird, POP MART, Paw in Paw, Rio, SANFU, Sanli, Sembo Block, Semir, Shiseido, Skechers, Soap Studio, SOGO Department, Starbucks, STAYREAL, Sunrana, Supafresh, Super Player, Synear, TATA, Tim Hortons, TOI, Trendy Sound, 361°, 85℃, Ulik",6,7,2,0,91.0,95.0,92.7,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
4498,Ocean Pacific,ocean pacific,https://www.glg-brands.com/brand-licensing4/ocean-pacific,nature_wildlife,"{""_id"": ""47b51d37-6021-4edd-bb03-ceaf3ccdf88c"", ""_owner"": ""ad20ab68-fe23-4441-91a8-0f5fb8cfaf99"", ""_createdDate"": {""$date"": ""2026-05-01T11:55:39.068Z""}, ""listNumber"": 183.0, ""_updatedDate"": {""$date"": ""2026-05-01T11:55:39.068Z""}, ""logo"": ""wix:image://v1/ad20ab_318e6f196877479dbc68bba9f6b04187~mv2.jpg/Ocean%20Pacific%20logo%20(1).jpg#originWidth=200&originHeight=200"", ""order"": 200.0, ""title"": ""Ocean Pacific"", ""brandLinkTitle"": ""/brand-licensing4/ocean-pacific"", ""orderByTitle"": ""Ocean Pacific"", ""link-brands-all"": ""/brands/""}",58,5,1,0,91.0,93.0,91.8,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
1804,Ricky Zoom,ricky zoom,https://imglicensing.com/brands/ricky-zoom/,nature_wildlife,"{""name"": ""Ricky Zoom"", ""slug"": ""ricky-zoom"", ""regions"": [""Middle East""], ""image"": {""src"": ""https://cdn.sanity.io/images/lw7qfqfz/production/964b4faadca36fc85ec42fe5ac1e842fcfbd7d17-560x1000.png"", ""blurDataURL"": ""data:image/jpeg;base64,/9j/2wBDAAYEBQYFBAYGBQYHBwYIChAKCgkJChQODwwQFxQYGBcUFhYaHSUfGhsjHBYWICwgIyYnKSopGR8tMC0oMCUoKSj/2wBDAQcHBwoIChMKChMoGhYaKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCj/wAARCAAKAAYDASIAAhEBAxEB/8QAFgABAQEAAAAAAAAAAAAAAAAAAAQF/8QAIRAAAQQCAgIDAAAAAAAAAAAAAwECBBEABQYHEjEhUYH/xAAVAQEBAAAAAAAAAAAAAAAAAAAGB//EAB0RAAEEAgMAAAAAAAAAAAAAAAEAAwQRAkESEyH/2gAMAwEAAhEDEQA/AKeR9gy9fv8AYi2pRs1EeUWMGSFKe8rVS2uv1SL+18YzbiwIZu1OXsNEjkYqhJ4uGip5Kxtuqva/eMnbr8Ssexizxx9utDQFJZGlENgEBf/Z"", ""alt"": ""Ricky Zoom Grid Portrait""}, ""logo"": {""src"": ""https://cdn.sanity.io/images/lw7qfqfz/production/73a63dde13a193379db23464706b0cd1e4b9edf5-335x248.svg"", ""alt"": ""Ricky Zoom logo-01-01"", ""width"": 335, ""height"": 248}}",13,5,1,0,91.0,93.0,91.8,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
4570,Zoo york,zoo york,https://www.glg-brands.com/brand-licensing5/zoo-york,nature_wildlife,"{""_id"": ""e8fab9bf-dc1a-478f-b9f1-45a03744d4d8"", ""_owner"": ""ad20ab68-fe23-4441-91a8-0f5fb8cfaf99"", ""_createdDate"": {""$date"": ""2026-05-01T11:55:38.987Z""}, ""listNumber"": 264.0, ""_updatedDate"": {""$date"": ""2026-05-01T11:55:38.987Z""}, ""logo"": ""wix:image://v1/ad20ab_6cc62fbc1179449c82c8f28ac02bb676~mv2.png/Zoo%20york.webp#originWidth=200&originHeight=200"", ""order"": 200.0, ""title"": ""Zoo york"", ""brandLinkTitle"": ""/brand-licensing5/zoo-york"", ""orderByTitle"": ""Zoo york"", ""link-brands-all"": ""/brands/""}",58,5,1,0,91.0,93.0,91.8,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
539,Bobcat,bobcat,https://www.glg-brands.com/brand-licensing2/bobcat,heritage_history,"Client List: Anheuser-Busch, Artestar, Baby Milo, Bath and Body Works, Beatrix Potter, Bob Marley, Bobcat, Bugatti, California Pizza Kitchen, Condé Nast, The Cheesecake Factory, Coca-Cola, Dr. Seuss, Draper James, Ford, Formula One, Frida Kahlo, Genshin Impact, Headspace, Iconix, Jonathan Adler, McLaren, Minecraft, Miffy, Mondelez, Ms. Rachel, Netflix, One Championship, Outdoor Voices, PacSun, Paddington Bear, Paramount Pictures, Playboy, Porsche, Red Bull Racing, Riot Games, Royal Berkshire Polo Club, Sesame Workshop, Smurfs, Sony Pictures, Spalding, Stumble Guys, Subway, CAA Talent and UCLA.",6,6,2,0,89.0,95.0,91.5,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
544,Coca-Cola,coca cola,,heritage_history,"Client List: Anheuser-Busch, Artestar, Baby Milo, Bath and Body Works, Beatrix Potter, Bob Marley, Bobcat, Bugatti, California Pizza Kitchen, Condé Nast, The Cheesecake Factory, Coca-Cola, Dr. Seuss, Draper James, Ford, Formula One, Frida Kahlo, Genshin Impact, Headspace, Iconix, Jonathan Adler, McLaren, Minecraft, Miffy, Mondelez, Ms. Rachel, Netflix, One Championship, Outdoor Voices, PacSun, Paddington Bear, Paramount Pictures, Playboy, Porsche, Red Bull Racing, Riot Games, Royal Berkshire Polo Club, Sesame Workshop, Smurfs, Sony Pictures, Spalding, Stumble Guys, Subway, CAA Talent and UCLA.",6,3,3,0,89.0,95.0,91.5,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
131,Colombia,colombia,,heritage_history,"Client List: Peanuts Worldwide, Amazon MGM Studios, Paramount, PLAYMOBIL, Supercell, Hasbro, Sony Pictures, Spin Master, Miraculous, SEGA, Dr. Seuss Enterprises, Sanrio, Penguin Ventures, Mercis BV, Van Gogh Museum, Perfetti Van Melle, Master Lock, Kikkoman, Casa de Batllo, Peugeot, Harvard, Colombia, Yale, FC Barcelona and Paris Saint Germain FC, amongst others.",15,7,3,0,89.0,95.0,91.5,heuristic_not_ai,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00
