id,canonical_name,normalized_name,website,category,quality_status,quality_score,source_count,evidence_count,agency_count,first_party_evidence_count,travel_fit_score,licensing_readiness_score,preliminary_opportunity_score,score_basis,generated_at
1142,Van Gogh Museum,van gogh museum,https://imglicensing.com/brands/van-gogh-museum/,heritage_history,high_confidence,0.99,3,21,3,6,89.0,96.0,93.2,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
543,Laura Ashley,laura ashley,https://imglicensing.com/brands/laura-ashley/,art_design,high_confidence,0.99,3,14,2,4,82.0,94.3,89.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
26,Gap,gap,https://imglicensing.com/brands/gap/,art_design,high_confidence,0.987,2,15,2,4,82.0,91.1,88.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
894,Gola,gola,https://imglicensing.com/brands/gola/,art_design,high_confidence,0.987,2,7,2,4,82.0,91.1,88.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1565,Ocean Pacific,ocean pacific,https://www.glg-brands.com/brand-licensing4/ocean-pacific,nature_wildlife,high_confidence,0.97,1,2,1,2,91.0,78.9,88.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
482,Skechers,skechers,https://imglicensing.com/brands/skechers/,art_design,high_confidence,0.987,2,8,2,4,82.0,91.1,88.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1636,Zoo york,zoo york,https://www.glg-brands.com/brand-licensing5/zoo-york,nature_wildlife,high_confidence,0.97,1,2,1,2,91.0,78.9,88.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
23,McDonald’s,mcdonalds,https://imglicensing.com/brands/mcdonalds/,food_drink,high_confidence,0.972,2,8,3,3,80.0,94.0,87.9,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1433,British Motor Heritage,british motor heritage,https://www.glg-brands.com/brand-licensing2/british-motor-heritage,heritage_history,high_confidence,0.97,1,2,1,2,89.0,78.9,87.4,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1590,Royal Velvet,royal velvet,https://www.glg-brands.com/brand-licensing4/royal-velvet,heritage_history,high_confidence,0.97,1,2,1,2,89.0,78.9,87.4,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
627,National Wildlife Federation,national wildlife federation,https://www.jewelbranding.com/client/national-wildlife-federation/,nature_wildlife,high_confidence,0.922,2,4,1,2,91.0,78.5,87.2,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
622,New York Botanical Garden,new york botanical garden,https://www.jewelbranding.com/client/new-york-botanical-garden/,nature_wildlife,high_confidence,0.922,2,3,1,1,91.0,78.5,87.2,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
588,Ducati,ducati,https://imglicensing.com/brands/ducati/,transport_automotive,high_confidence,0.99,3,16,2,4,77.0,94.3,86.9,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
602,MV Agusta,mv agusta,https://imglicensing.com/brands/mv-agusta/,transport_automotive,high_confidence,0.99,3,8,2,4,77.0,94.3,86.9,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
601,Maserati,maserati,https://imglicensing.com/brands/maserati/,transport_automotive,high_confidence,0.99,3,12,2,6,77.0,94.3,86.9,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1187,Royal Air Force,royal air force,https://imglicensing.com/brands/royal-air-force/,heritage_history,high_confidence,0.95,1,8,1,4,89.0,77.5,86.5,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
1188,Royal Navy,royal navy,https://imglicensing.com/brands/royal-navy/,heritage_history,high_confidence,0.95,1,4,1,4,89.0,77.5,86.5,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
625,Natural History Museum,natural history museum,https://www.jewelbranding.com/client/natural-history-museum/,heritage_history,high_confidence,0.922,2,4,1,2,89.0,78.5,86.3,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
221,Ford,ford,https://www.glg-brands.com/brand-licensing3/ford,transport_automotive,high_confidence,0.99,2,3,2,2,77.0,91.3,86.0,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
605,Pininfarina,pininfarina,https://imglicensing.com/brands/pininfarina/,transport_automotive,high_confidence,0.987,2,14,2,4,77.0,91.1,85.9,deterministic_triage_not_ai_ranked,2026-08-30T13:28:01+00:00
